P_ID,STIMULI,POOL,DEPTH,LOC,ORDER,FIRST,FIRST_IT,ITEM,SAME
p003,4,prolific,3,L,f,A,I09,I10,1
p005,4,prolific,2,L,f,A,I09,I10,1
p008,4,prolific,3,L,f,A,I09,I10,1
p010,4,prolific,2,L,f,A,I09,I10,1
p003,4,prolific,3,L,f,A,I09,I11,1
p005,4,prolific,2,L,f,A,I09,I11,1
p008,4,prolific,3,L,f,A,I09,I11,1
p010,4,prolific,2,L,f,A,I09,I11,1
p003,4,prolific,3,L,f,A,I09,I12,1
p005,4,prolific,2,L,f,A,I09,I12,1
p008,4,prolific,3,L,f,A,I09,I12,1
p010,4,prolific,2,L,f,A,I09,I12,1
p003,4,prolific,3,L,f,A,I09,I13,1
p005,4,prolific,2,L,f,A,I09,I13,1
p008,4,prolific,3,L,f,A,I09,I13,0
p010,4,prolific,2,L,f,A,I09,I13,1
p003,4,prolific,3,L,f,A,I09,I14,1
p005,4,prolific,2,L,f,A,I09,I14,1
p008,4,prolific,3,L,f,A,I09,I14,0
p010,4,prolific,2,L,f,A,I09,I14,1
p003,4,prolific,3,L,f,A,I09,I15,1
p005,4,prolific,2,L,f,A,I09,I15,0
p008,4,prolific,3,L,f,A,I09,I15,0
p010,4,prolific,2,L,f,A,I09,I15,1
p003,4,prolific,3,L,f,A,I09,I16,1
p005,4,prolific,2,L,f,A,I09,I16,0
p008,4,prolific,3,L,f,A,I09,I16,0
p010,4,prolific,2,L,f,A,I09,I16,1
p003,4,prolific,3,L,f,A,I09,I17,1
p005,4,prolific,2,L,f,A,I09,I17,0
p008,4,prolific,3,L,f,A,I09,I17,0
p010,4,prolific,2,L,f,A,I09,I17,1
p003,1,prolific,2,L,m,A,I13,I09,1
p004,1,prolific,3,L,m,A,I13,I09,1
p008,1,prolific,2,L,m,A,I13,I09,1
p003,1,prolific,2,L,m,A,I13,I10,1
p004,1,prolific,3,L,m,A,I13,I10,1
p008,1,prolific,2,L,m,A,I13,I10,1
p003,1,prolific,2,L,m,A,I13,I11,1
p004,1,prolific,3,L,m,A,I13,I11,0
p008,1,prolific,2,L,m,A,I13,I11,0
p003,1,prolific,2,L,m,A,I13,I12,1
p004,1,prolific,3,L,m,A,I13,I12,0
p008,1,prolific,2,L,m,A,I13,I12,1
p003,1,prolific,2,L,m,A,I13,I14,1
p004,1,prolific,3,L,m,A,I13,I14,0
p008,1,prolific,2,L,m,A,I13,I14,1
p003,1,prolific,2,L,m,A,I13,I15,1
p004,1,prolific,3,L,m,A,I13,I15,1
p008,1,prolific,2,L,m,A,I13,I15,1
p003,1,prolific,2,L,m,A,I13,I16,1
p004,1,prolific,3,L,m,A,I13,I16,0
p008,1,prolific,2,L,m,A,I13,I16,0
p003,1,prolific,2,L,m,A,I13,I17,1
p004,1,prolific,3,L,m,A,I13,I17,1
p008,1,prolific,2,L,m,A,I13,I17,0
p004,3,prolific,2,L,b,B,I17,I09,0
p006,1,prolific,3,L,b,B,I17,I09,0
p004,3,prolific,2,L,b,B,I17,I10,0
p006,1,prolific,3,L,b,B,I17,I10,1
p004,3,prolific,2,L,b,B,I17,I11,0
p006,1,prolific,3,L,b,B,I17,I11,0
p004,3,prolific,2,L,b,B,I17,I12,0
p006,1,prolific,3,L,b,B,I17,I12,0
p004,3,prolific,2,L,b,B,I17,I13,0
p006,1,prolific,3,L,b,B,I17,I13,1
p004,3,prolific,2,L,b,B,I17,I14,0
p006,1,prolific,3,L,b,B,I17,I14,0
p004,3,prolific,2,L,b,B,I17,I15,0
p006,1,prolific,3,L,b,B,I17,I15,0
p004,3,prolific,2,L,b,B,I17,I16,0
p006,1,prolific,3,L,b,B,I17,I16,0
p001,3,prolific,3,C,f,A,I12,I13,1
p002,2,prolific,2,C,f,X,I12,I13,1
p007,2,prolific,2,C,f,X,I12,I13,1
p001,3,prolific,3,C,f,A,I12,I14,1
p002,2,prolific,2,C,f,X,I12,I14,1
p007,2,prolific,2,C,f,X,I12,I14,0
p001,3,prolific,3,C,f,A,I12,I15,1
p002,2,prolific,2,C,f,X,I12,I15,0
p007,2,prolific,2,C,f,X,I12,I15,0
p001,3,prolific,3,C,f,A,I12,I16,1
p002,2,prolific,2,C,f,X,I12,I16,0
p007,2,prolific,2,C,f,X,I12,I16,0
p001,3,prolific,3,C,f,A,I12,I17,1
p002,2,prolific,2,C,f,X,I12,I17,0
p007,2,prolific,2,C,f,X,I12,I17,0
p001,3,prolific,3,C,f,A,I12,I18,1
p002,2,prolific,2,C,f,X,I12,I18,0
p007,2,prolific,2,C,f,X,I12,I18,0
p001,3,prolific,3,C,f,A,I12,I19,1
p002,2,prolific,2,C,f,X,I12,I19,0
p007,2,prolific,2,C,f,X,I12,I19,0
p001,3,prolific,3,C,f,A,I12,I20,1
p002,2,prolific,2,C,f,X,I12,I20,0
p007,2,prolific,2,C,f,X,I12,I20,0
p002,1,prolific,3,C,m,A,I16,I12,1
p006,3,prolific,2,C,m,X,I16,I12,0
p007,1,prolific,3,C,m,A,I16,I12,1
p002,1,prolific,3,C,m,A,I16,I13,1
p006,3,prolific,2,C,m,X,I16,I13,1
p007,1,prolific,3,C,m,A,I16,I13,1
p002,1,prolific,3,C,m,A,I16,I14,0
p006,3,prolific,2,C,m,X,I16,I14,0
p007,1,prolific,3,C,m,A,I16,I14,1
p002,1,prolific,3,C,m,A,I16,I15,0
p006,3,prolific,2,C,m,X,I16,I15,1
p007,1,prolific,3,C,m,A,I16,I15,1
p002,1,prolific,3,C,m,A,I16,I17,0
p006,3,prolific,2,C,m,X,I16,I17,0
p007,1,prolific,3,C,m,A,I16,I17,1
p002,1,prolific,3,C,m,A,I16,I18,1
p006,3,prolific,2,C,m,X,I16,I18,1
p007,1,prolific,3,C,m,A,I16,I18,1
p002,1,prolific,3,C,m,A,I16,I19,1
p006,3,prolific,2,C,m,X,I16,I19,0
p007,1,prolific,3,C,m,A,I16,I19,1
p002,1,prolific,3,C,m,A,I16,I20,0
p006,3,prolific,2,C,m,X,I16,I20,0
p007,1,prolific,3,C,m,A,I16,I20,1
p001,4,prolific,2,C,b,B,I20,I12,1
p005,3,prolific,3,C,b,B,I20,I12,1
p010,3,prolific,3,C,b,B,I20,I12,0
p001,4,prolific,2,C,b,B,I20,I13,1
p005,3,prolific,3,C,b,B,I20,I13,1
p010,3,prolific,3,C,b,B,I20,I13,1
p001,4,prolific,2,C,b,B,I20,I14,1
p005,3,prolific,3,C,b,B,I20,I14,1
p010,3,prolific,3,C,b,B,I20,I14,1
p001,4,prolific,2,C,b,B,I20,I15,1
p005,3,prolific,3,C,b,B,I20,I15,1
p010,3,prolific,3,C,b,B,I20,I15,1
p001,4,prolific,2,C,b,B,I20,I16,1
p005,3,prolific,3,C,b,B,I20,I16,1
p010,3,prolific,3,C,b,B,I20,I16,1
p001,4,prolific,2,C,b,B,I20,I17,1
p005,3,prolific,3,C,b,B,I20,I17,1
p010,3,prolific,3,C,b,B,I20,I17,1
p001,4,prolific,2,C,b,B,I20,I18,1
p005,3,prolific,3,C,b,B,I20,I18,1
p010,3,prolific,3,C,b,B,I20,I18,1
p001,4,prolific,2,C,b,B,I20,I19,1
p005,3,prolific,3,C,b,B,I20,I19,1
p010,3,prolific,3,C,b,B,I20,I19,1
p004,2,prolific,3,R,f,A,I15,I16,1
p006,4,prolific,2,R,f,X,I15,I16,1
p004,2,prolific,3,R,f,A,I15,I17,1
p006,4,prolific,2,R,f,X,I15,I17,0
p004,2,prolific,3,R,f,A,I15,I18,1
p006,4,prolific,2,R,f,X,I15,I18,0
p004,2,prolific,3,R,f,A,I15,I19,1
p006,4,prolific,2,R,f,X,I15,I19,0
p004,2,prolific,3,R,f,A,I15,I20,0
p006,4,prolific,2,R,f,X,I15,I20,0
p004,2,prolific,3,R,f,A,I15,I21,0
p006,4,prolific,2,R,f,X,I15,I21,0
p004,2,prolific,3,R,f,A,I15,I22,0
p006,4,prolific,2,R,f,X,I15,I22,0
p004,2,prolific,3,R,f,A,I15,I23,0
p006,4,prolific,2,R,f,X,I15,I23,0
p001,1,prolific,2,R,m,X,I19,I15,1
p005,2,prolific,3,R,m,B,I19,I15,1
p010,2,prolific,3,R,m,B,I19,I15,1
p001,1,prolific,2,R,m,X,I19,I16,1
p005,2,prolific,3,R,m,B,I19,I16,1
p010,2,prolific,3,R,m,B,I19,I16,1
p001,1,prolific,2,R,m,X,I19,I17,1
p005,2,prolific,3,R,m,B,I19,I17,1
p010,2,prolific,3,R,m,B,I19,I17,1
p001,1,prolific,2,R,m,X,I19,I18,1
p005,2,prolific,3,R,m,B,I19,I18,1
p010,2,prolific,3,R,m,B,I19,I18,1
p001,1,prolific,2,R,m,X,I19,I20,1
p005,2,prolific,3,R,m,B,I19,I20,1
p010,2,prolific,3,R,m,B,I19,I20,1
p001,1,prolific,2,R,m,X,I19,I21,1
p005,2,prolific,3,R,m,B,I19,I21,1
p010,2,prolific,3,R,m,B,I19,I21,1
p001,1,prolific,2,R,m,X,I19,I22,1
p005,2,prolific,3,R,m,B,I19,I22,1
p010,2,prolific,3,R,m,B,I19,I22,1
p001,1,prolific,2,R,m,X,I19,I23,1
p005,2,prolific,3,R,m,B,I19,I23,1
p010,2,prolific,3,R,m,B,I19,I23,1
p002,3,prolific,3,R,b,B,I23,I15,1
p003,2,prolific,2,R,b,B,I23,I15,0
p007,3,prolific,3,R,b,B,I23,I15,1
p008,2,prolific,2,R,b,B,I23,I15,1
p002,3,prolific,3,R,b,B,I23,I16,1
p003,2,prolific,2,R,b,B,I23,I16,0
p007,3,prolific,3,R,b,B,I23,I16,1
p008,2,prolific,2,R,b,B,I23,I16,1
p002,3,prolific,3,R,b,B,I23,I17,1
p003,2,prolific,2,R,b,B,I23,I17,0
