P_ID,GENDER,AGE,ATTEMPTS,TOTAL_ERRORS,MINUTES,POOL
p1_001,man,58,1,3,18.15975,prolific1
p1_002,woman,61,1,3,20.89687833333326,prolific1
p1_003,man,19,1,2,35.86385333333338,prolific1
p1_004,woman,43,1,0,15.374575,prolific1
p1_005,man,31,1,1,47.163464999999604,prolific1
p1_006,woman,49,1,0,21.175121666666865,prolific1
p1_007,woman,57,1,0,23.562811666666715,prolific1
p1_008,woman,69,1,1,21.930318333333233,prolific1
p1_009,man,44,1,2,10.728321666666865,prolific1
p1_010,woman,34,1,4,43.851036666666666,prolific1
p1_011,woman,32,1,2,50.58649166666667,prolific1
p1_012,woman,28,1,1,26.6814649999996,prolific1
p1_013,man,57,1,2,18.254678333333135,prolific1
p1_014,woman,27,1,1,12.911153333333353,prolific1
p1_015,man,59,1,0,15.08611333333254,prolific1
p1_016,woman,50,1,0,14.214573333334922,prolific1
p1_017,woman,60,1,8,14.70272333333095,prolific1
p1_018,woman,37,1,1,10.679131666660309,prolific1
p1_019,woman,41,1,0,12.002723333333309,prolific1
p1_020,woman,40,1,0,13.099576666667064,prolific1
p1_021,man,35,1,0,14.964581666666765,prolific1
p1_022,man,30,1,2,19.252483333333334,prolific1
p1_023,woman,51,1,5,17.335960000000025,prolific1
p1_024,woman,51,2,0,13.045551666665077,prolific1
p1_025,man,32,1,5,9.903705000000013,prolific1
p1_026,woman,26,1,1,9.84145999999841,prolific1
p1_027,man,35,1,1,27.181571666666617,prolific1
p1_028,man,27,1,0,12.897375,prolific1
p1_029,woman,38,1,0,14.204665000000006,prolific1
p1_030,woman,47,1,3,15.562525000000008,prolific1
p1_031,man,26,1,1,25.919545000000795,prolific1
p1_032,man,42,1,0,16.744061666666468,prolific1
p1_033,woman,30,1,0,21.62431833333373,prolific1
p1_034,man,28,1,0,8.970583333333334,prolific1
p1_035,woman,39,1,0,12.337410000000025,prolific1
p1_036,woman,43,1,1,11.449046666666865,prolific1
p1_037,woman,50,1,0,15.320673333334923,prolific1
p1_038,woman,72,1,1,30.897954999999996,prolific1
p1_039,woman,54,1,2,16.60204500000005,prolific1
p1_040,woman,21,1,3,10.368766666666666,prolific1
p1_041,man,25,2,3,36.12154500000002,prolific1
p1_042,woman,58,1,1,20.282270000000796,prolific1
p1_043,man,36,1,0,11.903718333333234,prolific1
p1_044,woman,37,1,0,51.32123333333333,prolific1
p1_045,man,39,3,1,19.894366666666667,prolific1
p1_046,man,38,1,0,8.71051333333333,prolific1
p1_047,man,45,1,1,16.185916666666667,prolific1
p1_048,woman,36,1,0,11.235551666665078,prolific1
p1_049,woman,35,1,1,12.2951,prolific1
p1_050,woman,48,1,0,12.869730000003178,prolific1
p1_051,woman,23,1,1,9.711998333333309,prolific1
p1_052,woman,61,1,0,15.008031666668256,prolific1
p1_053,woman,44,1,0,10.858433333333334,prolific1
p1_054,man,52,3,0,18.02698666666746,prolific1
p1_055,man,39,2,0,11.620740000000099,prolific1
p1_056,woman,27,1,1,30.75526166666746,prolific1
p1_057,woman,31,1,2,9.446526666666568,prolific1
p1_058,woman,35,1,0,12.445691666666667,prolific1
p1_059,woman,42,1,2,15.814435000000024,prolific1
p1_060,man,33,1,1,26.654981666676203,prolific1
p1_061,man,39,1,0,9.993258333333333,prolific1
p1_062,man,46,1,1,12.541293333331744,prolific1
p1_063,woman,22,1,0,55.12785500000001,prolific1
p1_064,man,41,1,2,38.180696666665874,prolific1
p1_065,woman,45,1,0,26.82176833333373,prolific1
p1_066,woman,57,1,2,13.689686666666468,prolific1
p1_067,man,30,1,0,57.912684999999904,prolific1
p1_068,woman,45,1,0,9.875591666666667,prolific1
p1_069,woman,36,1,0,55.02005666666664,prolific1
p1_070,man,22,1,4,33.2529,prolific1
p1_071,man,47,1,0,37.130293333333235,prolific1
p1_072,man,37,2,0,31.215960000000397,prolific1
p1_073,man,66,1,7,19.99221333333353,prolific1
p1_074,man,54,2,2,34.316463333332536,prolific1
p1_075,woman,45,1,1,10.439926666667064,prolific1
p1_076,man,36,1,2,17.966725,prolific1
p1_077,man,31,1,2,29.76205,prolific1
p1_078,man,27,1,2,19.803751666667065,prolific1
p1_079,man,20,1,0,12.988616666666667,prolific1
p1_080,man,27,1,0,17.984411666667462,prolific1
p1_081,man,31,3,2,12.614311666666469,prolific1
p1_082,woman,40,1,0,61.32618166666726,prolific1
p1_083,man,35,1,0,9.57425,prolific1
p1_084,woman,40,1,1,15.361308333333334,prolific1
p1_085,woman,32,1,1,45.53712833333413,prolific1
p1_086,man,31,1,3,14.572221666666865,prolific1
p1_087,woman,34,1,1,15.079513333336513,prolific1
p1_088,man,29,1,0,13.773738333333036,prolific1
p1_089,woman,46,1,1,14.401951666669051,prolific1
p1_090,woman,42,1,3,24.4231650000001,prolific1
p1_091,woman,38,2,0,15.870821666666865,prolific1
p1_092,woman,40,1,0,18.671358333333334,prolific1
p1_093,woman,33,1,1,14.385783333333332,prolific1
p1_094,woman,31,3,2,30.834791666666668,prolific1
p1_095,woman,27,1,0,15.904354999995231,prolific1
p1_096,man,39,1,0,60.8454,prolific1
p1_097,woman,55,1,1,20.606575,prolific1
p1_098,man,36,1,0,18.179316666666665,prolific1
p1_099,man,50,1,0,20.931640000000595,prolific1
p1_100,woman,75,1,3,26.006166666666665,prolific1
p1_101,man,25,1,0,8.045175,prolific1
p1_102,man,60,1,0,20.533783333333332,prolific1
p1_103,man,50,1,0,25.75322666666607,prolific1
p1_104,man,42,1,1,16.101766666666666,prolific1
p1_105,woman,24,1,0,14.753901666666568,prolific1
p1_106,woman,56,1,3,12.161721666666866,prolific1
p1_107,man,46,2,0,46.046490000000595,prolific1
p1_108,woman,45,1,0,18.570823333332935,prolific1
p1_109,man,39,1,0,13.544833333333333,prolific1
p1_110,man,56,1,7,17.335121666666367,prolific1
p1_111,man,31,1,0,14.513836666666467,prolific1
p1_112,man,27,1,0,12.872161666666665,prolific1
p1_113,man,34,1,1,11.234088333336512,prolific1
p1_114,woman,37,1,2,26.668506666666765,prolific1
p1_115,man,51,1,0,12.38350499999995,prolific1
p1_116,man,34,1,1,27.7325849999999,prolific1
p1_117,man,36,1,0,37.60180833333333,prolific1
p1_118,woman,32,1,1,23.3147599999999,prolific1
p1_119,woman,25,1,0,22.345958333333332,prolific1
p1_120,man,47,1,1,10.478091666666666,prolific1
p1_121,woman,61,1,0,19.174535000000397,prolific1
p1_122,woman,50,1,0,19.826919999999987,prolific1
p1_123,woman,43,1,0,17.854636666666966,prolific1
p1_124,woman,35,1,2,20.60305,prolific1
p1_125,woman,46,1,0,18.279740000009536,prolific1
p1_126,man,46,1,1,34.4740099999994,prolific1
p1_127,man,32,1,1,12.479405000000199,prolific1
p1_128,man,27,1,0,15.83314000000159,prolific1
p1_129,woman,29,1,2,22.113266666666668,prolific1
p1_130,woman,30,1,0,12.85763500000015,prolific1
p1_131,man,28,1,1,37.617266666666666,prolific1
p1_132,woman,34,1,0,16.035275,prolific1
p1_133,woman,31,1,1,43.72490833333333,prolific1
p1_134,man,37,1,0,13.488601666666666,prolific1
p1_135,woman,38,1,0,15.985966666666666,prolific1
p1_136,woman,41,1,0,15.691175,prolific1
p1_137,woman,51,1,0,21.63413166666627,prolific1
p1_138,woman,37,1,0,14.436601666673024,prolific1
p1_139,man,24,2,0,24.27829666666674,prolific1
p1_140,woman,53,1,3,32.30307666666607,prolific1
p1_141,woman,35,1,1,32.56715,prolific1
p1_142,man,36,1,0,13.729733333333334,prolific1
p1_143,woman,32,1,0,11.881638333332539,prolific1
p1_144,man,37,1,0,22.7888400000001,prolific1
p1_145,woman,47,1,0,26.330756666666268,prolific1
p1_146,woman,32,1,3,15.417460000000398,prolific1
p1_147,woman,57,1,1,10.197095000000003,prolific1
p1_148,man,42,1,2,18.050123333332937,prolific1
p1_149,woman,22,1,0,12.009428333333384,prolific1
p1_150,woman,54,1,0,27.511810000000025,prolific1
p1_151,woman,24,1,0,18.584894999999925,prolific1
p1_152,man,25,1,1,13.383073333334924,prolific1
p1_153,woman,36,1,0,19.507080000000197,prolific1
p1_154,woman,28,1,0,49.705735,prolific1
p1_155,woman,60,1,0,20.685625,prolific1
p1_156,woman,36,1,0,23.7444800000002,prolific1
p1_157,woman,41,1,2,15.633209999999998,prolific1
p1_158,woman,33,2,4,59.78838833333353,prolific1
r1_001,woman,18,1,0,11.336966666666667,rep
r1_002,woman,18,1,0,10.546413333334526,rep
r1_003,woman,18,2,0,13.524490000000595,rep
r1_004,woman,19,1,0,7.156219999999801,rep
r1_005,woman,18,1,0,11.730668333333234,rep
r1_006,woman,18,1,0,14.9589300000002,rep
r1_007,woman,19,2,0,14.581733333333334,rep
r1_008,woman,19,1,0,11.251388333333283,rep
r1_009,woman,18,2,1,10.919986666665475,rep
r1_010,woman,19,1,0,20.969508333333334,rep
r1_011,man,19,3,0,20.898833333333332,rep
r1_012,woman,18,1,0,21.97926666666667,rep
r1_013,man,21,2,0,11.996643333333482,rep
r1_014,woman,21,1,0,8.874466666666667,rep
r1_015,woman,19,1,1,12.460516666666667,rep
r1_016,woman,44,1,0,16.967566666666666,rep
r1_018,woman,20,2,0,10.3348,rep
r1_019,woman,19,1,0,10.16028166666627,rep
r1_020,man,20,1,0,9.470485000000398,rep
r1_021,woman,21,1,0,13.731719999996821,rep
r1_022,woman,19,1,0,17.835633333333337,rep
r1_023,man,18,1,0,8.976511666666966,rep
r1_024,man,19,1,0,7.342951666666661,rep
r1_025,woman,18,1,0,10.841813333333532,rep
r1_026,woman,18,1,0,9.581565000000099,rep
r1_027,man,28,1,0,11.985056666666269,rep
r1_028,,18,1,1,13.403171666666742,rep
r1_029,woman,19,1,1,11.497561666666469,rep
r1_030,woman,19,1,2,24.650495000000003,rep
r1_031,woman,20,1,0,18.763091666666668,rep
r1_032,woman,19,1,1,10.382743333339691,rep
r1_033,man,19,1,1,32.274948333334926,rep
r1_034,woman,18,1,2,26.903551666666566,rep
r1_035,man,18,2,0,54.92135333333214,rep
r1_036,woman,19,1,0,17.579783333333335,rep
r1_037,woman,19,1,0,15.44619000000159,rep
r1_038,man,18,1,2,11.463128333333135,rep
r1_039,woman,22,1,0,13.834229999999701,rep
r1_040,woman,18,1,0,12.002476666666675,rep
r1_041,man,18,2,1,12.113554999999206,rep
r1_042,woman,18,4,0,37.040698333332934,rep
r1_043,woman,21,1,1,9.916368333331745,rep
r1_044,man,18,1,3,9.710538333333284,rep
r1_045,woman,21,2,0,18.42805,rep
r1_046,woman,18,1,1,16.402276666666566,rep
r1_047,woman,18,1,0,24.3282400000001,rep
r1_048,woman,20,1,5,13.801888333332538,rep
r1_049,woman,18,1,0,10.597211666665475,rep
r1_050,woman,18,1,1,9.91679333333373,rep
r1_051,woman,19,1,0,13.488975,rep
r1_052,man,20,2,1,19.87290999999841,rep
r1_053,man,19,2,0,12.580893333332737,rep
r1_054,woman,18,1,2,10.606585000000397,rep
r1_055,woman,19,1,0,13.408288333332539,rep
r1_056,woman,18,1,0,10.542294999999802,rep
r1_057,woman,19,1,0,7.915998333333433,rep
r1_058,man,20,1,0,12.229488333333036,rep
r1_059,man,19,1,0,8.145080000000013,rep
r1_060,woman,18,1,0,15.964281666668256,rep
r1_061,woman,18,1,1,10.419366666666667,rep
r1_062,woman,18,1,0,14.087318333333359,rep
r1_063,woman,19,3,0,19.156033333333333,rep
r1_064,man,18,1,1,9.3034599999999,rep
r1_065,man,19,1,0,14.625781666667264,rep
r1_066,woman,20,1,0,234.85344833333335,rep
r1_067,man,18,1,0,14.1901150000001,rep
r1_068,woman,19,1,0,12.425658333333333,rep
r1_069,man,20,1,0,18.482376666667065,rep
r1_070,woman,21,1,0,17.642614999997615,rep
r1_071,woman,18,1,2,13.811116666666667,rep
r1_072,man,19,1,0,43.087506666668254,rep
r1_073,woman,19,1,0,12.515155000000199,rep
r1_074,woman,18,2,0,14.332671666661899,rep
r1_075,woman,19,2,1,50.13576666666667,rep
r1_076,woman,32,1,1,15.685273333333308,rep
r1_077,woman,18,1,0,17.42987333333331,rep
r1_078,woman,22,1,0,9.021633333333334,rep
r1_079,woman,21,1,4,10.803166666666666,rep
r1_080,man,18,1,2,8.217475000000007,rep
r1_081,woman,19,1,2,13.197108333333333,rep
p2_001,man,29,1,0,15.365738333332539,prolific2
p2_002,woman,47,1,1,20.599533333333333,prolific2
p2_003,woman,37,1,3,16.687666666666665,prolific2
p2_004,woman,68,1,1,49.41266666666667,prolific2
p2_005,man,42,2,2,17.370073333333433,prolific2
p2_006,man,28,1,0,11.375218333333327,prolific2
p2_007,man,56,1,0,20.376046666666678,prolific2
p2_008,man,56,4,1,41.48806166666647,prolific2
p2_009,woman,27,2,2,35.67666666666667,prolific2
p2_010,man,33,1,1,9.937964999999851,prolific2
p2_011,man,25,2,0,13.049835,prolific2
p2_012,woman,22,1,0,10.205038333332539,prolific2
p2_013,woman,48,1,0,18.4953199999998,prolific2
p2_014,man,24,1,0,15.29212833333214,prolific2
p2_015,man,41,1,0,12.908681666666766,prolific2
p2_016,man,55,1,2,30.134613333333345,prolific2
p2_017,woman,58,1,0,22.5604599999999,prolific2
p2_018,woman,25,1,1,23.582881666666765,prolific2
