P_ID,DEPTH,LOC,ORDER,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,STIMULI
p001,2,R,m,19,29,20,18,21,1,17,3,22,16,23,31,15,1
p001,3,L,a,9,13,3,16,11,10,15,1,14,12,31,29,17,2
p001,2,C,b,20,29,19,17,18,1,16,31,14,15,13,3,12,4
p001,3,C,f,12,3,13,15,14,31,16,29,18,17,19,1,20,3
p002,2,L,a,17,9,31,10,1,13,29,14,11,3,16,12,15,4
p002,3,C,m,16,29,17,15,18,3,14,1,19,13,20,31,12,1
p002,3,R,b,23,1,22,20,21,3,19,29,17,18,16,31,15,3
p002,2,C,f,12,3,13,15,14,31,16,29,18,17,19,1,20,2
p003,2,R,b,23,3,22,20,21,31,19,29,17,18,16,1,15,2
p003,3,L,f,9,1,10,12,11,29,13,3,15,14,16,31,17,4
p003,3,C,a,1,12,14,13,16,31,15,3,19,17,18,29,20,3
p003,2,L,m,13,31,14,12,15,29,11,3,16,10,17,1,9,1
p004,2,C,a,29,14,12,13,15,16,3,1,17,19,18,31,20,4
p004,3,L,m,13,3,12,14,11,31,15,1,10,16,9,29,17,1
p004,3,R,f,15,29,16,18,17,31,19,3,21,20,22,1,23,2
p004,2,L,b,17,29,16,14,15,3,13,1,11,12,10,31,9,3
p005,2,R,a,15,16,31,18,3,29,23,19,21,22,1,17,20,1
p005,2,L,f,9,3,10,12,11,29,13,31,15,14,16,1,17,4
p005,3,C,b,20,29,19,17,18,3,16,1,14,15,13,31,12,3
p005,3,R,m,19,3,18,20,17,1,21,31,16,22,15,29,23,2
p006,3,R,a,22,15,31,16,21,17,18,1,20,23,19,29,3,2
p006,3,L,b,17,1,16,14,15,29,13,31,11,12,10,3,9,1
p006,2,C,m,16,3,17,15,18,1,14,29,19,13,20,31,12,3
p006,2,R,f,15,3,16,18,17,1,19,31,21,20,22,29,23,4
p007,2,L,a,9,16,11,1,17,29,10,3,12,14,31,13,15,4
p007,3,C,m,16,29,17,15,18,3,14,1,19,13,20,31,12,1
p007,3,R,b,23,1,22,20,21,3,19,29,17,18,16,31,15,3
p007,2,C,f,12,3,13,15,14,31,16,29,18,17,19,1,20,2
p008,2,R,b,23,3,22,20,21,31,19,29,17,18,16,1,15,2
p008,3,L,f,9,1,10,12,11,29,13,3,15,14,16,31,17,4
p008,3,C,a,18,19,29,31,17,12,20,14,13,1,15,16,3,3
p008,2,L,m,13,31,14,12,15,29,11,3,16,10,17,1,9,1
p009,2,C,a,12,29,16,3,17,1,15,18,19,13,20,31,14,4
p009,3,L,m,13,3,12,14,11,31,15,1,10,16,9,29,17,1
p009,3,R,f,15,29,16,18,17,31,19,3,21,20,22,1,23,2
p009,2,L,b,17,29,16,14,15,3,13,1,11,12,10,31,9,3
p010,2,R,a,20,17,29,21,15,1,19,23,3,31,22,16,18,1
p010,2,L,f,9,3,10,12,11,29,13,31,15,14,16,1,17,4
p010,3,C,b,20,29,19,17,18,3,16,1,14,15,13,31,12,3
p010,3,R,m,19,3,18,20,17,1,21,31,16,22,15,29,23,2
